"Date","Price","Open","High","Low","Vol.","Change %"
"13-09-2024","6,093.55","6,155.15","6,179.90","6,077.00","29.87K","-0.35%"
"16-09-2024","5,941.75","6,095.90","6,149.85","5,925.00","19.19K","-2.49%"
"17-09-2024","5,922.70","5,941.75","6,027.50","5,907.80","14.23K","-0.32%"
"18-09-2024","5,830.15","5,971.30","5,983.70","5,806.00","10.69K","-1.56%"
"19-09-2024","5,667.30","5,810.00","5,870.00","5,642.00","18.10K","-2.79%"
"20-09-2024","5,456.90","5,666.00","5,748.00","5,397.60","223.04K","-3.71%"
"23-09-2024","5,548.50","5,527.90","5,578.85","5,448.05","23.20K","1.68%"
"24-09-2024","5,474.50","5,569.00","5,569.25","5,431.00","31.95K","-1.33%"
"25-09-2024","5,427.55","5,518.90","5,518.90","5,409.00","14.59K","-0.86%"
"26-09-2024","5,416.15","5,450.00","5,499.00","5,380.00","19.39K","-0.21%"
"27-09-2024","5,829.85","5,478.95","5,885.60","5,417.05","95.88K","7.64%"
"30-09-2024","5,722.05","5,775.00","5,799.70","5,553.00","67.36K","-1.85%"
"01-10-2024","5,562.50","5,768.05","5,827.85","5,536.00","40.23K","-2.79%"
"03-10-2024","5,484.75","5,564.00","5,640.00","5,424.60","61.90K","-1.40%"
"04-10-2024","5,616.40","5,570.00","5,766.00","5,560.00","186.59K","2.40%"
"07-10-2024","5,651.75","5,600.00","5,696.15","5,500.10","41.81K","0.63%"
"08-10-2024","5,621.65","5,680.00","5,780.00","5,611.20","141.21K","-0.53%"
"09-10-2024","5,705.90","5,673.15","5,776.90","5,656.55","38.14K","1.50%"
"10-10-2024","5,743.30","5,756.00","5,839.85","5,710.00","19.17K","0.66%"
"11-10-2024","5,758.75","5,787.60","5,849.45","5,656.05","17.77K","0.27%"
"14-10-2024","5,850.60","5,758.75","5,939.00","5,758.75","49.02K","1.59%"
"15-10-2024","5,763.95","5,850.60","6,020.00","5,745.15","47.64K","-1.48%"
"16-10-2024","5,688.95","5,800.40","5,933.90","5,650.00","33.12K","-1.30%"
"17-10-2024","5,788.40","5,738.05","5,929.00","5,729.95","52.83K","1.75%"
"18-10-2024","5,673.00","5,730.00","5,798.60","5,612.50","26.15K","-1.99%"
"21-10-2024","5,597.85","5,764.70","5,768.95","5,581.35","17.77K","-1.32%"
"22-10-2024","5,503.60","5,600.00","5,604.20","5,420.05","33.31K","-1.68%"
"23-10-2024","5,501.50","5,501.95","5,554.35","5,366.00","17.58K","-0.04%"
"24-10-2024","5,360.70","5,512.25","5,512.25","5,225.00","15.42K","-2.56%"
"25-10-2024","5,303.40","5,399.00","5,399.00","5,229.80","24.38K","-1.07%"
"28-10-2024","5,268.55","5,250.00","5,328.00","5,187.35","24.31K","-0.66%"
"29-10-2024","5,196.40","5,332.30","5,343.00","5,162.00","20.56K","-1.37%"
"30-10-2024","5,097.55","5,249.00","5,288.00","5,085.00","25.03K","-1.90%"
"31-10-2024","5,097.90","5,097.90","5,153.65","5,052.70","20.88K","0.01%"
"01-11-2024","5,159.40","5,120.00","5,180.00","5,104.00","4.21K","1.21%"
"04-11-2024","5,188.25","5,159.40","5,209.00","5,036.65","61.08K","0.56%"
"05-11-2024","5,252.45","5,188.85","5,272.00","5,161.10","12.94K","1.24%"
"06-11-2024","5,319.25","5,299.00","5,345.00","5,281.70","15.37K","1.27%"
"07-11-2024","5,347.20","5,345.00","5,387.85","5,297.35","14.21K","0.53%"
"08-11-2024","5,286.85","5,385.00","5,385.00","5,264.05","8.57K","-1.13%"
"11-11-2024","5,203.30","5,300.00","5,315.00","5,192.50","17.01K","-1.58%"
"12-11-2024","5,285.30","5,218.45","5,390.00","5,218.45","16.85K","1.58%"
"13-11-2024","5,208.10","5,285.30","5,285.30","5,128.50","26.79K","-1.46%"
"14-11-2024","5,206.95","5,205.00","5,299.00","5,180.00","17.57K","-0.02%"
"18-11-2024","5,185.80","5,222.20","5,222.20","5,112.80","14.31K","-0.41%"
"19-11-2024","5,178.55","5,185.80","5,298.95","5,135.00","18.28K","-0.14%"
"21-11-2024","5,131.30","5,188.65","5,210.65","5,100.00","10.11K","-0.91%"
"22-11-2024","5,225.65","5,161.00","5,269.25","5,131.35","12.15K","1.84%"
"25-11-2024","5,258.80","5,310.00","5,344.10","5,225.00","14.03K","0.63%"
"26-11-2024","5,263.50","5,274.20","5,291.45","5,208.95","9.66K","0.09%"
"27-11-2024","5,312.45","5,225.00","5,329.00","5,225.00","27.76K","0.93%"
"28-11-2024","5,305.70","5,324.90","5,448.00","5,258.55","12.45K","-0.13%"
"29-11-2024","5,313.25","5,305.05","5,337.00","5,281.20","4.52K","0.14%"
"02-12-2024","5,340.95","5,314.00","5,350.00","5,282.10","9.52K","0.52%"
"03-12-2024","5,370.35","5,390.00","5,417.90","5,340.00","15.16K","0.55%"
"04-12-2024","5,361.15","5,400.00","5,408.00","5,301.00","11.99K","-0.17%"
"05-12-2024","5,288.25","5,389.90","5,389.90","5,280.00","25.85K","-1.36%"
"06-12-2024","5,232.90","5,270.00","5,277.00","5,182.30","34.94K","-1.05%"
"09-12-2024","5,057.20","5,278.00","5,278.00","5,049.15","39.66K","-3.36%"
"10-12-2024","5,052.35","5,091.05","5,128.75","5,040.00","22.39K","-0.10%"
"11-12-2024","5,076.30","5,050.00","5,125.00","5,045.00","10.70K","0.47%"
"12-12-2024","5,082.70","5,096.00","5,158.00","5,060.00","13.88K","0.13%"
"13-12-2024","5,024.05","5,083.00","5,098.00","4,984.50","12.67K","-1.15%"
"16-12-2024","4,998.40","4,900.05","5,033.20","4,900.05","12.13K","-0.51%"
"17-12-2024","5,021.10","5,016.10","5,046.70","4,972.00","17.08K","0.45%"
"18-12-2024","5,049.45","5,065.00","5,289.95","4,960.00","94.12K","0.56%"
"19-12-2024","5,012.40","4,975.00","5,029.95","4,975.00","9.34K","-0.73%"
"20-12-2024","4,669.95","5,012.40","5,055.50","4,601.00","337.18K","-6.83%"
"23-12-2024","4,832.60","4,697.95","4,865.00","4,695.05","41.16K","3.48%"
"24-12-2024","4,803.85","4,807.00","4,876.10","4,774.05","21.47K","-0.59%"
"26-12-2024","4,875.20","4,800.00","4,897.00","4,775.05","14.06K","1.49%"
"27-12-2024","4,873.95","4,887.40","4,929.50","4,808.95","8.56K","-0.03%"
"30-12-2024","5,365.75","4,830.00","5,469.00","4,780.00","307.75K","10.09%"
"31-12-2024","5,281.50","5,290.05","5,299.00","5,180.00","37.76K","-1.57%"
"01-01-2025","5,307.45","5,270.00","5,353.00","5,173.25","30.47K","0.49%"
"02-01-2025","5,324.15","5,350.00","5,353.00","5,230.10","27.61K","0.31%"
"03-01-2025","5,223.35","5,324.15","5,340.00","5,204.95","39.04K","-1.89%"
"06-01-2025","5,128.70","5,224.00","5,274.75","5,108.00","28.33K","-1.81%"
"07-01-2025","5,347.80","5,133.00","5,496.95","5,091.30","117.95K","4.27%"
"08-01-2025","5,381.85","5,360.00","5,544.00","5,265.20","78.28K","0.64%"
"09-01-2025","5,330.05","5,398.10","5,407.15","5,300.00","18.61K","-0.96%"
"10-01-2025","5,254.45","5,371.90","5,371.90","5,200.00","12.92K","-1.42%"
"13-01-2025","5,090.50","5,254.45","5,291.60","5,061.55","17.53K","-3.12%"
"14-01-2025","5,087.30","5,155.00","5,224.95","4,987.30","24.08K","-0.06%"
"15-01-2025","4,961.55","5,097.80","5,107.15","4,941.95","47.40K","-2.47%"
"16-01-2025","4,959.75","4,962.00","5,029.45","4,930.40","10.78K","-0.04%"
"17-01-2025","4,958.10","4,965.00","5,000.95","4,921.00","8.84K","-0.03%"
"20-01-2025","4,933.95","4,999.00","4,999.45","4,907.40","23.36K","-0.49%"
"21-01-2025","4,944.50","4,921.00","4,984.05","4,900.05","12.86K","0.21%"
"22-01-2025","4,792.50","4,934.10","4,985.00","4,763.15","19.10K","-3.07%"
"23-01-2025","4,784.65","4,800.00","4,827.95","4,770.00","14.79K","-0.16%"
"24-01-2025","4,713.95","4,811.10","4,811.10","4,700.00","18.43K","-1.48%"
"27-01-2025","4,591.45","4,676.05","4,687.10","4,540.10","13.64K","-2.60%"
"28-01-2025","4,423.30","4,599.90","4,658.50","4,413.05","22.01K","-3.66%"
"29-01-2025","4,486.60","4,429.90","4,521.25","4,425.05","13.92K","1.43%"
"30-01-2025","4,519.15","4,550.00","4,573.50","4,494.60","10.75K","0.73%"
"31-01-2025","4,538.20","4,450.05","4,562.85","4,450.05","13.74K","0.42%"
"01-02-2025","4,562.85","4,466.05","4,594.90","4,461.00","12.14K","0.54%"
"03-02-2025","4,504.15","4,575.00","4,575.00","4,376.05","24.87K","-1.29%"
"04-02-2025","4,425.80","4,514.90","4,516.40","4,411.25","16.43K","-1.74%"
"05-02-2025","4,377.00","4,469.00","4,469.00","4,351.00","39.06K","-1.10%"
"06-02-2025","4,414.95","4,399.00","4,445.95","4,370.75","26.81K","0.87%"
"07-02-2025","4,357.90","4,459.80","4,459.80","4,329.35","17.81K","-1.29%"
"10-02-2025","4,248.10","4,301.00","4,347.00","4,230.10","16.81K","-2.52%"
"11-02-2025","4,111.15","4,278.75","4,278.75","4,060.00","21.76K","-3.22%"
"12-02-2025","4,120.55","4,126.40","4,143.85","4,010.55","20.68K","0.23%"
"13-02-2025","4,169.05","4,110.00","4,425.45","4,089.00","116.61K","1.18%"
"14-02-2025","4,178.25","4,199.00","4,248.80","4,062.00","23.71K","0.22%"
"17-02-2025","4,152.50","4,178.25","4,193.35","4,050.05","27.34K","-0.62%"
"18-02-2025","4,124.95","4,129.50","4,152.80","4,070.50","18.08K","-0.66%"
"19-02-2025","4,130.65","4,139.00","4,188.00","4,075.00","13.70K","0.14%"
"20-02-2025","4,110.05","4,151.35","4,151.40","4,070.00","203.66K","-0.50%"
"21-02-2025","4,095.10","4,137.00","4,179.50","4,080.40","16.72K","-0.36%"
"24-02-2025","4,192.75","4,095.10","4,470.00","4,095.00","1.10M","2.38%"
"25-02-2025","4,125.15","4,189.60","4,215.90","4,106.05","46.31K","-1.61%"
"27-02-2025","4,050.10","4,118.70","4,140.00","4,011.90","33.27K","-1.82%"
"28-02-2025","4,050.75","4,000.25","4,088.80","3,910.00","52.54K","0.02%"
"03-03-2025","3,940.85","4,130.00","4,130.00","3,871.10","59.11K","-2.71%"
